member_id,problem_id
1,3376
1,3197
1,31054
1,10691
1,2324
1,14529
1,24164
1,20980
1,12648
1,16835
1,3184
1,19231
1,16953
1,24027
1,23092
1,3296
1,25307
1,13913
1,17197
1,1886
1,13265
1,14169
1,1130
1,22844
1,11489
1,26942
1,11964
1,21799
1,10472
1,2364
1,5993
1,1707
1,6369
1,12744
1,15972
1,20049
1,12886
1,1400
1,14781
1,14217
1,5014
1,29942
1,3055
1,14496
1,18232
1,17071
1,7741
1,6255
1,1559
1,10196
1,30206
1,17198
1,23268
1,13549
1,25884
1,16640
1,11259
1,20419
1,25271
1,19940
1,28032
1,21590
1,2644
1,12761
1,9168
1,3439
1,5006
1,6814
1,21798
1,21148
1,24129
1,1697
1,12698
1,4812
1,28071
1,15356
1,6847
1,23545
1,22352
1,31564
1,7562
1,5558
1,6382
1,22413
1,4990
1,26598
1,20497
1,11612
1,16569
1,21175
1,8596
1,9717
1,12851
1,23747
1,4893
1,18831
1,22426
1,5955
1,23288
1,6025
1,10623
1,1325
1,11965
1,5968
1,25366
1,2001
1,20304
1,23930
1,20130
1,24778
1,6004
1,27602
1,27570
1,13700
1,25127
1,9347
1,11167
1,5992
1,11607
1,24390
1,13460
1,20058
1,24648
1,22832
1,9123
1,12887
1,27115
1,14466
1,8452
1,19251
1,30466
1,4048
1,17934
1,16954
1,10633
1,12211
1,9899
1,18818
1,18809
1,6573
1,31671
1,4545
1,23001
1,7646
1,4950
1,17244
1,12530
1,26429
1,12523
1,27314
1,12467
1,25969
1,22480
1,9001
1,24141
1,23634
1,7352
1,10324
1,11624
1,2782
1,4954
1,12391
1,12451
1,27909
1,24513
1,2663
1,1122
1,15285
1,22029
1,26549
1,11190
1,4068
1,22852
1,10917
1,9538
1,6726
1,6607
1,16307
1,9376
1,1499
1,24396
1,1926
1,2146
1,1938
1,1389
1,6023
1,17471
1,30164
1,22443
1,15762
1,1227
1,10652
1,2667
1,8796
1,3805
1,20644
1,2583
1,29333
1,18243
1,14325
1,2536
1,31575
1,6832
1,14395
1,10118
1,6534
1,25195
1,8100
1,20209
1,17729
1,18139
1,14562
1,30894
1,29703
1,5011
1,16965
1,21232
1,19791
1,3414
1,16458
1,2151
1,24797
1,22205
1,20420
1,11060
1,6129
1,18188
1,24955
1,4131
1,3829
1,22506
1,18513
1,28283
1,3686
1,1857
1,2314
1,4899
1,7107
1,13940
1,29761
1,8244
1,1953
1,16866
1,3850
1,12427
1,6386
1,28280
1,17223
1,20677
1,5938
1,13522
1,4657
1,16947
1,11095
1,5143
1,25903
1,17472
1,7689
1,10552
1,29905
1,10320
1,5547
1,7659
1,4692
1,25417
1,10711
1,27451
1,6328
1,17733
1,25513
1,25173
1,20964
1,16959
1,28333
1,15514
1,16346
1,14271
1,17562
1,28048
1,21237
1,23085
1,11310
1,12667
1,10043
1,24774
1,14744
1,17086
1,2132
1,4179
1,9601
1,14451
1,17836
1,3118
1,5886
1,2633
1,11725
1,7851
1,16143
1,20842
1,24444
1,3697
1,10095
1,24449
1,28143
1,3491
1,17834
1,16940
1,1944
1,7661
1,12906
1,28543
1,8627
1,9826
1,16236
1,19606
1,6383
1,18404
1,26876
1,30713
1,14714
1,8446
1,3907
1,28371
1,2412
1,5120
1,21767
1,1795
1,2206
1,21416
1,24446
1,2452
1,4200
1,20223
1,20870
1,26423
1,6772
1,15110
1,18352
1,27040
1,24588
1,17220
1,16985
1,25140
1,15024
1,12191
1,24762
1,5975
1,4503
1,26989
1,12869
1,17129
1,4618
1,21328
1,26870
1,6166
1,30702
1,8598
1,5931
1,11567
1,20005
1,1981
1,24773
1,24819
1,21800
1,26993
1,6087
1,5213
1,20333
1,24780
1,3440
1,4640
1,5206
1,27180
1,9441
1,24959
1,3901
1,21284
1,2595
1,20158
1,16928
1,3526
1,21817
1,12390
1,2625
1,4278
1,24373
1,15253
1,1679
1,14172
1,9986
1,23052
1,1326
1,16920
1,30055
1,2585
1,8184
1,23064
1,25189
1,18235
1,21750
1,5465
1,12621
1,13949
1,21609
1,2636
1,2196
1,25919
1,21937
1,3993
1,2996
1,13936
1,29877
1,20219
1,13213
1,25983
1,14218
1,11738
1,15644
1,2479
1,12529
1,10763
1,13379
1,14226
1,16768
1,12428
1,8687
1,24439
1,17154
1,17684
1,16294
1,25688
1,8525
1,12383
1,12051
1,9328
1,19078
1,25376
1,31622
1,11535
1,1260
1,17267
1,25516
1,23749
1,22362
1,22307
1,8814
1,23044
1,26002
1,19706
1,14716
1,14923
1,30043
1,14868
1,21425
1,14442
1,4677
1,4412
1,5259
1,6881
1,24902
1,8112
1,27737
1,12153
1,31681
1,4472
1,6356
1,25395
1,11448
1,30940
1,27005
1,30610
1,6207
1,6082
1,11451
1,31587
1,30508
1,31720
1,13148
1,24463
1,15099
1,28130
1,13810
1,9264
1,4963
1,31502
1,12190
1,25061
1,4393
1,17788
1,22550
1,22525
1,5427
1,19410
1,2606
1,12210
1,18405
1,13565
1,2359
1,22315
1,27453
2,8184
2,10789
2,30106
2,21938
2,21797
2,28543
2,12906
2,15573
2,3376
2,7784
2,3311
2,4244
2,20842
2,15240
2,23064
2,5993
2,27200
2,16307
2,11370
2,5880
2,25689
2,2479
2,13379
2,25064
2,23164
2,14325
2,2234
2,19506
2,4950
2,19538
2,16143
2,9328
2,28032
2,24373
2,1528
2,22868
2,10533
2,30713
2,8507
2,19791
2,12451
2,25366
2,6577
2,15457
2,13913
2,25061
2,16234
2,16784
2,19101
2,18112
2,17640
2,2359
2,23634
2,26356
2,27115
2,4412
2,14207
2,19952
2,2412
2,9266
2,24390
2,15285
2,6382
2,15110
2,10652
2,28280
2,15515
2,25189
2,6004
2,9717
2,16390
2,6747
2,21799
2,18404
2,6188
2,2573
2,19940
2,1430
2,5986
2,3118
2,18583
2,28048
2,16985
2,16568
2,2206
2,27180
2,22506
2,3197
2,15558
2,13810
2,17220
2,12427
2,16940
2,10633
2,4131
2,8236
2,25919
2,16930
2,3805
2,31502
2,18420
2,21590
2,22948
2,8602
2,22852
2,2178
2,11060
2,25514
2,27451
2,15019
2,11624
2,17471
2,27211
2,30429
2,8783
2,15984
2,12190
2,14868
2,16965
2,21736
2,16710
2,23034
2,1724
2,22310
2,11987
2,31587
2,21416
2,13355
2,16640
2,14940
2,6755
2,1963
2,6837
2,7228
2,5925
2,15072
2,11095
2,27100
2,22480
2,8100
2,7851
2,8112
2,20223
2,26887
2,15507
2,25902
2,1466
2,6775
2,17834
2,20677
2,24513
2,12467
2,19606
2,1897
2,26002
2,21798
2,10472
2,24565
2,12886
2,1109
2,20497
2,8175
2,5938
2,9376
2,30024
2,10320
2,12524
2,26942
2,18139
2,15693
2,24588
2,28452
2,1682
2,14395
2,6316
2,17154
2,12211
2,1686
2,2074
2,17684
2,20049
2,13463
2,1113
2,14248
2,26876
2,26993
2,21750
2,1679
2,25173
2,7873
2,30396
2,24985
2,2314
2,7661
2,6186
2,14744
2,24648
2,1035
2,13485
2,10094
2,11519
2,19955
2,25516
2,17934
2,23352
2,9899
2,8111
2,15644
2,26598
2,10711
2,1600
2,2047
2,1499
2,15971
2,12851
2,23741
2,25788
2,4954
2,12887
2,18375
2,30627
2,25903
2,14226
2,29905
2,2644
2,24819
2,9781
2,26429
2,8452
2,10483
2,6059
2,6601
2,1726
2,5558
2,4472
2,24129
2,22443
2,3865
2,5011
2,26009
2,1326
2,6573
2,13995
2,6118
2,21189
2,16933
2,27909
2,24436
2,13522
2,6229
2,23288
2,20005
2,18128
2,6462
2,14172
2,29634
2,6945
2,4200
2,1857
2,21817
2,18232
2,4677
2,29936
2,25983
2,6798
2,14529
2,9840
2,9019
2,1348
2,6985
2,25272
2,12523
2,21328
2,17077
2,13148
2,5850
2,3697
2,14496
2,1303
2,9347
2,1886
2,3439
2,1325
2,16166
2,12658
2,14217
2,16137
2,1743
2,2585
2,4068
2,5772
2,10691
2,13460
2,1707
2,16928
2,26870
2,27737
2,14546
2,23410
2,11952
2,6328
2,12051
2,11738
2,15101
2,28052
2,4842
2,19706
2,6207
2,23545
2,26124
2,12946
2,18188
2,25140
2,16932
2,4899
2,2194
2,16197
2,8068
2,25884
2,15253
2,3695
2,9204
2,30082
2,10043
2,18809
2,25195
2,2593
2,26051
2,22533
2,17223
2,19065
2,16952
2,10917
2,27996
2,6255
2,30466
2,17135
2,30610
2,2595
2,2917
2,21148
2,11123
2,22204
2,7669
2,6383
2,11998
2,8814
2,11322
2,24774
2,30650
2,16174
2,26989
2,16458
2,30508
2,5237
2,31464
2,15591
2,14677
2,6907
2,1580
2,30043
2,21237
2,26200
2,23268
2,31681
2,5975
2,26533
2,7646
2,17234
2,16023
2,2660
2,17631
2,12050
2,5980
2,2251
2,12210
2,25416
2,21232
2,9826
2,20675
2,23790
2,3993
2,14867
2,27068
2,16953
2,15530
2,4657
2,4993
2,19078
2,20419
2,8627
2,16946
2,17391
2,7352
2,16988
2,24959
2,27040
2,22949
2,5429
2,25395
2,17472
2,11965
2,20644
2,15514
2,13219
2,29333
2,25417
2,4692
2,13549
2,5465
2,12698
2,17071
2,18831
2,1939
2,24444
2,28073
2,20420
2,18405
2,11535
2,9365
2,23749
2,24141
2,20219
2,24446
2,12621
2,1938
2,24686
2,5793
2,16920
2,28283
2,5886
2,16663
2,29761
2,9311
2,14599
2,22315
2,11133
2,14716
2,7576
2,8446
2,3829
2,26203
2,24439
2,12273
2,21937
2,11231
2,2021
2,14324
2,4121
2,15099
2,18243
2,17394
2,22426
2,17616
2,21216
2,24445
2,26866
2,2310
2,22352
2,8244
2,20993
2,1122
2,13213
2,20780
2,27602
2,22944
2,21767
2,14422
2,13936
2,31575
2,1400
2,5120
2,6082
2,6814
2,5006
2,6724
2,28311
2,22307
2,2583
2,26076
2,25242
2,2536
2,11448
2,3907
2,17921
2,7659
2,6189
2,6534
2,1473
2,6087
2,11638
2,21175
2,4640
2,19238
2,25307
2,30055
2,17198
2,22022
2,10196
2,4437
